,Out Datetime,In Datetime,Name,Voltage(kV),LineType,GenFlag,Length(miles),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,District,OutageID
5003,09/16/1999 05:57,09/16/1999 05:57,Burns-Summer Lake section of Midpoint-Summer Lake No 1 500kV line,500.0,S,G,110.40,0,Auto,Unknown,,RED,117762
5004,09/16/1999 05:57,09/16/1999 05:57,Midpoint-Burns section of Midpoint-Summer Lake No 1 500kV line,500.0,S,G,260.40,0,Auto,Unknown,,IDF RED,117762
5005,09/16/1999 05:57,09/16/1999 05:57,Midpoint-Summer Lake No 1 500kV line,500.0,L, ,370.80,0,Auto,Unknown,,IDF RED,117762
5006,09/16/1999 06:01,09/16/1999 18:06,La Grande-IPC Brownlee No 1 230kV line,230.0,L, ,79.30,725,Plan,Foreign Request,,TRI,117763
5007,09/16/1999 06:01,09/16/1999 18:06,Quartz tap to La Grande-IPC Brownlee No 1 230kV line,230.0,T,G,10.30,725,Plan,Foreign Request,,TRI,117763
5008,09/16/1999 06:32,09/16/1999 20:10,Covington-Duwamish No 1 230kV line,230.0,L, ,15.82,818,Plan,Foreign Request,,COV,117764
5009,09/16/1999 07:04,09/17/1999 14:54,Tahkenitch-Reedsport No 1 115kV line,115.0,L, ,4.38,1910,Plan,Maintenance,,EUG,117765
5010,09/16/1999 07:39,09/16/1999 11:08,Shelton-Bayshore section of Shelton-Kitsap No 2 115kV line,115.0,S, ,5.90,209,Plan,Maintenance,,OLY,117766
5011,09/16/1999 07:39,09/16/1999 11:08,Shelton-Kitsap No 2 115kV line,115.0,L,G,30.34,209,Plan,Maintenance,,OLY,117766
5012,09/16/1999 07:52,09/16/1999 15:59,Albany-Eugene No 1 115kV line,115.0,L,G,39.80,487,Plan,Maintenance,,EUG,117767
5013,09/16/1999 07:52,09/16/1999 15:59,Albany-Harrisburg section of Albany-Eugene No 1 115kV line,115.0,S, ,22.60,487,Plan,Maintenance,,EUG,117767
5014,09/16/1999 08:01,09/16/1999 08:23,Ross-Lexington No 1 230kV line,230.0,L, ,41.21,22,Plan,Foreign Request,,LGV,117768
5015,09/16/1999 08:01,09/16/1999 08:23,Ross-Woodland section of Ross-Lexington No 1 230kV line,230.0,S,G,19.85,22,Plan,Foreign Request,,LGV,117768
5016,09/16/1999 08:01,09/16/1999 08:23,Swift tap to Ross-Lexington No 1 230kV line,230.0,T,G,26.06,22,Plan,Foreign Request,,LGV,117768
5017,09/16/1999 08:01,09/16/1999 08:23,Woodland-Lexington section of Ross-Lexington No 1 230kV line,230.0,S,G,21.36,22,Plan,Foreign Request,,LGV,117768
5018,09/16/1999 09:01,09/16/1999 14:00,Libby-Conkelley No 1 230kV line,230.0,L,G,83.94,299,Plan,Maintenance,,KAL,117769
5019,09/16/1999 09:01,09/16/1999 14:00,Trumbull Creek-Conkelley section of Libby-Conkelley No 1 230kV line,230.0,S, ,7.34,299,Plan,Maintenance,,KAL,117769
