,Out Datetime,In Datetime,Name,Voltage(kV),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,System In Control,MW Intrpt,District,OutageID
344,03/11/1999 13:25,03/11/1999 15:45,Armstrong IPL: Inland P+L 115kV Feeder 1 by Avista Corp,115.0,140,Auto,Equipment/Miscellaneous,,BPA Trouble,Unknown,TRI,114721
345,03/15/1999 07:45,03/15/1999 13:03,Conkelley: Col Falls Alum Co 13.8kV Feeder S1,13.8,318,Plan,Maintenance,,BPA Request,None,KAL,114761
346,03/15/1999 07:55,03/17/1999 14:55,Intalco: Alcoa 13.8kV Feeder 6,13.8,3300,Plan,Maintenance,,BPA Request,None,SNO,114762
347,03/15/1999 11:52,03/15/1999 11:57,Oxbow: Pacific Co PUD 115kV Feeder 1,115.0,5,Auto,"Machinery, Logging","Machinery, Logging",BPA Trouble,2,LGV,114763
348,03/19/1999 08:28,03/19/1999 11:57,Keller: Ferry Co PUD 34.5kV Feeder 1,34.5,209,Plan,Foreign Request,,Customer Request,Unknown,SPK,114804
349,03/19/1999 16:30,03/19/1999 16:30,East Hills: South Side Elec 12.5kV Feeder 1,12.5,0,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,2,IDF,114922
350,03/21/1999 16:37,03/21/1999 16:37,North Butte: Consumers Power 12.5kV Feeder 1,12.5,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,EUG,114815
351,03/21/1999 16:37,03/21/1999 16:37,Foster: PacifiCorp (PACW) 115kV Feeder 1,115.0,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,EUG,114816
352,03/21/1999 16:37,03/21/1999 16:37,Lebanon: Consumers Power 69kV Feeder 1,69.0,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,EUG,114817
353,03/21/1999 16:37,03/21/1999 16:47,Albany: PacifiCorp (PACW) 115kV Feeder 1,115.0,10,Auto,Unknown,Unknown,Unknown Trouble,Unknown,EUG,114829
354,03/21/1999 21:09,03/21/1999 21:09,Mica: Inland P+L 13.8kV Feeder 1 by Avista Corp,13.8,0,Auto,Foreign Trouble,,Transferor Trouble,Unknown,SPK,114818
355,03/21/1999 21:09,03/21/1999 21:09,Rockford: Kootenai E Coop 24.9kV Feeder 1 by Avista Corp,24.9,0,Auto,Foreign Trouble,,Transferor Trouble,Unknown,SPK,114819
356,03/21/1999 21:09,03/21/1999 21:15,Brincken's Corner: Clearwater P Co 115kV Feeder 1 by Avista Corp,115.0,6,Auto,Foreign Trouble,Foreign Utility,Transferor Trouble,Unknown,SPK,114820
357,03/21/1999 21:09,03/21/1999 21:15,Brincken's Corner: Clearwater P Co 69kV Feeder 1 by Avista Corp,69.0,6,Auto,Foreign Trouble,Foreign Utility,Transferor Trouble,Unknown,SPK,114821
358,03/21/1999 21:09,03/21/1999 21:15,Brincken's Corner: Clearwater P Co 69kV Feeder 2 by Avista Corp,69.0,6,Auto,Foreign Trouble,Foreign Utility,Transferor Trouble,Unknown,SPK,114822
359,03/21/1999 21:14,03/21/1999 22:06,Mica: Inland P+L 13.8kV Feeder 1 by Avista Corp,13.8,52,Auto,Foreign Trouble,,Transferor Trouble,Unknown,SPK,114823
360,03/21/1999 21:14,03/21/1999 22:02,Rockford: Kootenai E Coop 24.9kV Feeder 1 by Avista Corp,24.9,48,Auto,Foreign Trouble,,Transferor Trouble,Unknown,SPK,114824
361,03/22/1999 07:16,03/22/1999 16:00,Snohomish: Snohomish Co PUD 115kV Feeder 7,115.0,524,Plan,Maintenance,,BPA Request,None,SNO,114832
362,03/22/1999 11:30,03/22/1999 11:30,Baxter: Big Bend Coop 13.8kV Feeder 1,13.8,0,Auto,Foreign Trouble,Foreign Utility,Customer Trouble,Unknown,TRI,114874
363,03/22/1999 16:41,03/22/1999 16:46,Santiam: PacifiCorp (PACW) 69kV Feeder 1,69.0,5,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,41,SAL,114833
364,03/23/1999 06:32,03/23/1999 06:32,Garibaldi: Tillamook PUD 24.9kV Feeder 1 by PacifiCorp (PACW),24.9,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,SAL,114839
365,03/23/1999 06:32,03/23/1999 06:32,Mohler: Tillamook PUD 24.9kV Feeder 1 by PacifiCorp (PACW),24.9,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,SAL,114840
366,03/23/1999 06:32,03/23/1999 06:32,Necanicum: West Oregon Elec 12.5kV Feeder 1 by PacifiCorp (PACW),12.5,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,SAL,114841
